transaction_amount,transaction_frequency,transaction_hour,pin_attempts,device_change_count,new_recipient,location_change,upi_id_age_days,avg_transaction_amount,state,merchant_category,dob_year,is_fraud
541.22,6,14,1,0,0,1,354,337.18,Tamil Nadu,Education,1981,0
5653.6,9,10,1,0,0,1,588,321.41,Kerala,Fuel,1996,0
1648.9,9,21,1,0,0,1,709,1337.15,Telangana,Clothing,1992,0
543.82,3,17,1,0,0,1,290,2391.06,West Bengal,Utilities,1996,0
1714.66,2,9,1,0,0,1,11,1003.31,Maharashtra,Food,1992,0
472.23,1,21,1,0,0,1,707,19.67,Kerala,Clothing,1987,0
20776.1,12,2,3,1,0,1,8,3269.15,Delhi,Healthcare,1994,1
132.11,4,17,1,1,0,1,493,665.75,Kerala,Electronics,1990,0
557.17,1,18,1,1,0,0,304,1201.1,Uttar Pradesh,Electronics,1999,0
5918.82,20,0,4,0,1,1,22,2216.18,Maharashtra,Electronics,1992,1
322.08,8,7,1,1,0,0,44,656.85,West Bengal,Clothing,1984,0
776.99,3,8,1,1,0,0,478,362.1,Kerala,Clothing,1994,0
2128.45,4,19,1,1,0,0,526,1668.83,Delhi,Clothing,1971,0
2724.5,1,8,1,0,0,1,163,1104.2,Maharashtra,Electronics,1992,0
1263.91,2,7,1,0,0,0,320,422.51,Maharashtra,Fuel,1999,0
2084.66,6,7,1,0,0,0,262,2457.74,Karnataka,Entertainment,1986,0
8229.28,19,5,4,0,1,1,53,210.55,Tamil Nadu,Fuel,1981,1
333.09,6,17,1,0,0,0,267,1022.33,Tamil Nadu,Food,1974,0
98.02,3,7,1,0,0,1,160,139.09,Telangana,Healthcare,1984,0
618.43,8,21,1,0,0,0,498,957.91,Karnataka,Education,1998,0
73.28,6,7,1,1,0,0,147,2023.32,West Bengal,Education,1979,0
1821.36,6,17,1,1,0,1,294,411.74,Maharashtra,Food,1991,0
2483.75,8,6,1,1,0,1,29,1159.4,Karnataka,Education,1994,0
4682.51,3,14,1,0,0,0,395,449.17,Tamil Nadu,Fuel,1982,0
958.71,7,8,1,0,0,0,100,2405.57,Rajasthan,Electronics,1970,0
56.76,5,21,1,1,0,1,265,379.97,Delhi,Utilities,1999,0
416.78,2,12,1,0,0,0,271,618.91,Kerala,Healthcare,1993,0
1704.96,7,21,1,0,0,0,25,150.71,Uttar Pradesh,Electronics,1970,0
1114.15,5,21,1,0,0,1,604,256.65,Maharashtra,Utilities,1978,0
428.73,9,7,1,0,0,0,265,1247.46,Delhi,Food,1971,0
14366.28,5,23,1,1,0,0,12,4291.48,West Bengal,Grocery,1986,1
747.84,6,19,1,1,0,0,608,100.82,Gujarat,Entertainment,1999,0
196.87,6,15,1,0,0,1,501,609.55,Gujarat,Clothing,1979,0
2148.38,3,9,1,1,0,1,521,207.51,Uttar Pradesh,Clothing,1975,0
757.43,3,16,1,0,0,0,411,1279.53,Gujarat,Utilities,1991,0
454.66,2,10,1,0,0,0,379,855.66,Gujarat,Fuel,1977,0
2428.76,2,10,1,0,0,0,80,64.23,Gujarat,Healthcare,1988,0
1510.05,10,0,2,0,0,2,24,9871.69,Uttar Pradesh,Healthcare,1979,1
2214.57,9,13,1,1,0,0,91,942.67,West Bengal,Fuel,1992,0
143.11,3,16,1,0,0,1,131,206.82,Karnataka,Education,1986,0
1801.78,8,13,1,0,0,0,53,1669.62,Gujarat,Education,1982,0
3207.78,24,2,1,2,0,1,34,789.89,Gujarat,Education,1987,1
8713.92,2,15,1,1,0,0,221,1013.07,Rajasthan,Healthcare,1995,0
100.54,7,16,1,0,0,0,214,25.1,Rajasthan,Utilities,1994,0
2048.34,8,18,1,1,0,0,64,1747.27,Karnataka,Entertainment,1976,0
1484.74,12,0,1,2,1,0,18,1398.62,Kerala,Entertainment,1996,1
204.17,8,11,1,0,0,0,401,22.1,Kerala,Electronics,1981,0
2781.24,2,19,1,0,0,0,135,1724.9,Maharashtra,Education,1972,0
28.22,6,17,1,1,0,1,287,189.87,Maharashtra,Healthcare,1972,0
10.0,1,6,1,1,0,1,214,3415.8,Delhi,Healthcare,1975,0
483.16,2,10,1,1,0,0,75,984.48,Tamil Nadu,Grocery,1998,0
1858.12,4,13,1,0,0,0,480,456.02,Kerala,Utilities,1979,0
1549.41,2,8,1,1,0,0,313,1918.46,Tamil Nadu,Education,1977,0
10.0,6,18,1,1,0,0,170,1629.69,Rajasthan,Utilities,1998,0
1088.8,9,16,1,1,0,1,531,2893.58,Karnataka,Grocery,1987,0
506.89,3,7,1,0,0,1,88,859.11,Karnataka,Utilities,1984,0
173.32,9,11,1,1,0,0,312,961.49,Delhi,Food,1995,0
830.68,1,21,1,0,0,0,266,194.96,Uttar Pradesh,Healthcare,1980,0
1015.8,6,16,1,0,0,1,596,254.53,Kerala,Travel,1976,0
1294.47,3,14,1,1,0,0,553,2137.93,Delhi,Clothing,1998,0
1577.42,5,16,1,0,0,0,532,1919.57,Maharashtra,Utilities,1988,0
